subject;object;semantic_closeness
несправедливость;прикрыть;0.9271371364593506
несправедливость;дикси;0.9260416030883789
несправедливость;утонуть;0.9252710342407227
несправедливость;неадекват;0.9245290756225586
несправедливость;перебегать;0.9223366975784302
несправедливость;отрадное;0.920422375202179
несправедливость;сбежать;0.9186712503433228
несправедливость;лютый;0.9185760617256165
несправедливость;серьёзно;0.917596697807312
несправедливость;мицубиси;0.9171714186668396
несправедливость;прилавок;0.9168207049369812
несправедливость;собор;0.9167501330375671
прикрыть;аутлендер;0.9692230224609375
прикрыть;неадекват;0.9648480415344238
прикрыть;резиновый;0.9640151858329773
прикрыть;обстрелять;0.9635817408561707
прикрыть;прострелить;0.9627326726913452
прикрыть;доставщик;0.9627152681350708
прикрыть;мицубиси;0.9619510769844055
прикрыть;ладь;0.9609670042991638
прикрыть;повалить;0.9600878953933716
прикрыть;перебегать;0.9597787857055664
прикрыть;прилавок;0.9593009948730469
прикрыть;уронить;0.9588561058044434
неадекват;кудров;0.9899588823318481
неадекват;мицубиси;0.9889960289001465
неадекват;подраться;0.9864059686660767
неадекват;трк;0.9858384132385254
неадекват;обстрелять;0.9858062863349915
неадекват;корейский;0.9845325946807861
неадекват;выстрел;0.984423041343689
неадекват;уронить;0.9843994975090027
неадекват;школьница;0.9843838214874268
неадекват;луга;0.9829705357551575
неадекват;аутлендер;0.9819649457931519
неадекват;озадачить;0.9819466471672058
подраться;мурина;0.9952704310417175
подраться;школьница;0.9949234127998352
подраться;приозерск;0.9947472810745239
подраться;крест;0.9944114089012146
подраться;кудров;0.9941750764846802
подраться;щенок;0.9937156438827515
подраться;драйв;0.9933543801307678
подраться;обстрелять;0.9930785298347473
подраться;дебош;0.9927462339401245
подраться;молл;0.9924473166465759
подраться;перцовый;0.9923098683357239
подраться;шар;0.9922584891319275
крест;кобель;0.9954312443733215
крест;москвичка;0.9946654438972473
крест;подраться;0.9944111704826355
крест;мурина;0.9942644834518433
крест;пруд;0.99345463514328
крест;нерпа;0.9933425188064575
